0,0,0,42,0,0,0,8,8,0,0,0,0,2,0,10,52,52,52,52,0,0,52,52,15,52,52,9,7,38,51,51,51,51,51,51,50,50,0,51,0,0,0,0,0,0,0,50,50,0,0,0,0,4,0,0,9,0,0,8,0,0,0,4,5,0,0,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,2,3,0,7,3,0,0
50,0,0,0,0,0,2,1,0,19,11,9,40,0,0,6,4,4,0,0,7,2,0,12,42,30,52,52,52,0,0,0,2,0,0,9,1,0,0,0,49,0,5,1,0,0,9,0,36,25,25,26,25,36,25,25,50,50,50,50,50,50,25,25,25,25,35,25,25,25,25,26,25,25,25,25,50,50,50,50,50,32,12,50,25,25,25,25,25,25,25,25,25,40,25,30,25,25,51,50,7
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,38,25,25,32,25,25,25,25,25,25,25,36,25,25,25,25,25,27,28,25,25,25,25,27,25,25,39,27,25,25,25,25,25,25,25,25,25,25,25,25,25,29,25,25,25,27,26,25,25,25,25,27,25,25,25,25,2,0,9,0,0,0,0,0,0,0,0,4,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,28
25,25,50,50,50,50,0,0,0,7,0,0,0,0,0,10,0,0,0,5,0,0,0,3,27,0,0,0,2,0,11,0,10,2,0,0,0,0,2,0,0,0,9,28,0,8,0,0,0,8,3,52,52,52,29,52,52,52,52,52,52,0,0,9,2,0,0,0,1,7,0,0,0,0,34,25,39,25,25,25,25,25,25,25,25,25,25,25,25,36,26,26,25,27,36,25,28,25,25,25,29
25,50,50,1,50,50,50,50,50,25,25,25,0,38,3,0,8,2,0,7,0,0,0,0,25,25,25,25,25,31,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,12,23,50,50,50,50,50,50,50,50,50,50,4,50,50,50,50,50,50,50,50,50,50,50,50,24,50,50,50,50,50,50,50,50,18,32,50,50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,44,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,9,50,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,4,0,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,23,52,52,52,52,52,52,52,52,52,52,52,52,52
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,38,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,22,51,50,50,50,52,52,52,51,51,51,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,50,51,51,51,51,51,51,51,51,51,11,50,52,52,7,52,52,13,1,52,53,52,52,52,52,52,52,52,49,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,52,52,52,52,51,51,51,23,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,29,51,51,51,51,51,51,51,51,51,51,51,51,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,27,51,51,51,52,51,52,28
0,0,3,4,11,18,6,0,3,0,0,7,9,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,15,0,4,0,0,0,2,0,0,7,0,3,0,0,0,0,0,42,2,0,0,0,0,0,14,0,0,0,0,0,0,2,2,9,0,0,0,2,0,0,0,0,0,0,0,3,0,0,15,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0
2,0,0,0,1,0,0,2,0,0,2,2,0,6,2,0,1,0,1,0,0,0,2,0,0,1,0,7,30,0,0,16,0,0,0,0,3,0,3,7,4,0,2,0,2,0,0,2,0,6,0,39,0,0,9,3,4,32,0,0,0,9,3,0,11,0,0,0,0,5,2,0,0,8,2,0,0,0,0,0,0,10,0,47,3,0,0,0,0,0,0,2,0,0,0,0,2,0,9,0,0
25,25,9,24,10,0,0,0,0,1,0,3,9,2,0,8,6,51,32,20,51,2,25,0,7,0,0,2,0,26,0,0,0,9,2,2,11,10,9,0,0,9,2,4,0,0,2,0,2,0,0,40,0,0,3,2,0,1,6,19,0,8,0,0,9,0,12,0,7,8,3,5,5,10,9,1,0,10,5,0,0,22,0,10,0,4,3,11,9,2,0,0,11,2,0,0,2,0,0,2,0
31,25,25,0,2,3,2,3,0,0,0,9,0,2,0,2,3,9,25,25,25,25,25,39,25,25,25,25,25,25,25,25,37,47,25,36,25,25,25,26,26,0,2,8,18,16,0,25,32,25,31,25,32,25,25,25,25,25,32,26,25,32,25,25,31,31,25,25,25,25,25,25,25,25,32,25,25,25,25,25,25,25,25,25,25,25,23,25,25,25,25,25,50,0,0,0,0,12,0,0,0
25,34,32,28,25,31,25,25,26,25,25,25,25,25,26,25,25,25,25,25,27,31,25,25,37,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27,52,25,25,36,26,25,25,45,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,34,25,27,25,25,25,25,25,25,25,25,31,30,25,17,25,29,26,25,25,25,25,25,25,25
0,0,9,23,25,25,50,50,50,50,25,25,25,25,51,0,6,0,52,0,52,52,52,50,50,50,50,50,50,50,50,50,52,52,52,52,52,52,52,52,52,52,52,50,50,50,50,50,50,50,50,52,52,52,52,52,52,52,52,52,52,52,52,25,25,25,25,25,2,0,0,7,0,4,3,9,8,0,5,0,0,0,7,0,0,2,0,11,0,0,25,25,25,26,25,25,25,25,25,25,25
